date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-08-24,2.86872e+06,3.02467,0.033026,216.559,27.6715
2022-08-25,1.15083e+07,4.55067,1.04966,35.6563,94.2378
2022-08-26,1.6101e+07,5.59225,5.49344,346.835,174.888
2022-08-27,7.23163e+06,4.74675,4.66139,18.2375,106.952
2022-08-28,9.17554e+06,4.8435,4.50437,18.58,113.626
2022-08-29,4.10439e+06,3.65767,3.44787,37.6869,48.9342
2022-08-30,1.32818e+07,5.36775,5.19537,52.649,154.66
2022-08-31,2.3189e+07,6.38417,6.31599,57.7016,260.203
2022-09-01,1.34906e+07,5.27967,5.16957,73.145,147.17
2022-09-02,9.38742e+06,4.88758,4.68977,98.5823,116.757
2022-09-03,4.80421e+06,3.94883,3.42692,109.031,61.5753
2022-09-04,1.15057e+06,2.77242,1.49272,125.615,21.3096
2022-09-05,2.90806e+06,3.57417,1.80187,126.968,45.6588
2022-09-06,1.63411e+06,3.00783,1.86164,160.999,27.2121
2022-09-07,3.68468e+06,3.61725,2.2222,175.152,47.3299
2022-09-08,5.57976e+06,4.24483,3.50806,191.506,76.486
2022-09-09,1.92314e+07,6.10592,5.33625,194.315,227.642
2022-09-10,9.95252e+06,3.81033,1.98338,340.532,55.3209
2022-09-11,597356,1.97617,0.570843,16.3444,7.71739
2022-09-12,4.93324e+06,3.76417,3.38671,193.78,53.3343
2022-09-13,8.66795e+06,3.7505,2.70892,339.548,52.7555
2022-09-14,2.42868e+06,3.00892,1.87276,1.40498,27.2415
2022-09-15,2.15025e+07,6.45417,6.33856,320.807,268.856
2022-09-16,2.49298e+07,8.21508,8.07255,323.464,554.416
2022-09-17,3.45271e+07,9.1835,9.14419,328.659,774.506
2022-09-18,2.52282e+07,8.13333,7.89493,323.873,538.029
2022-09-19,2.1223e+07,6.50025,6.4435,332.959,274.657
2022-09-20,9.50736e+06,3.77217,3.4232,348.61,53.6751
2022-09-21,339355,1.663,0.879722,156.035,4.59914
2022-09-22,1.77625e+06,2.80108,2.60086,169.805,21.9775
2022-09-23,3.03217e+06,3.4005,2.97079,203.916,39.3213
2022-09-24,1.05814e+07,4.92483,3.75602,26.6773,119.447
2022-09-25,7.90514e+06,3.88133,2.55588,320.693,58.4713
2022-09-26,2.94254e+07,7.40308,4.87225,262.198,405.731
2022-09-27,1.34071e+07,5.10725,4.73577,302.204,133.218
2022-09-28,2.30792e+06,2.93858,2.22084,295.727,25.3755
2022-09-29,447308,1.765,0.147241,286.258,5.49837
2022-09-30,1.54824e+07,5.61642,5.26893,201.339,177.165
2022-10-01,3.68754e+07,8.09417,6.81201,254.948,530.294
2022-10-02,1.40029e+07,5.73583,5.22957,296.525,188.708
2022-10-03,2.41869e+06,3.04808,2.35819,248.844,28.3192
2022-10-04,1.65581e+07,5.89617,5.76201,204.067,204.979
2022-10-05,4.87365e+07,9.61717,8.9921,221.546,889.491
2022-10-06,2.4337e+07,7.46225,7.02301,244.342,415.537
2022-10-07,3.35454e+07,7.62108,7.40584,219.891,442.639
2022-10-08,1.46707e+07,5.58258,5.35774,283.489,173.983
2022-10-09,3.69642e+06,4.0455,3.75932,162.279,66.2089
2022-10-10,1.26803e+07,5.48542,2.69238,269.531,165.055
2022-10-11,1.23274e+06,2.72192,1.66625,262.034,20.1662
2022-10-12,2.96408e+06,3.27217,3.04133,185.323,35.0353
2022-10-13,2.53608e+06,3.43867,2.4234,230.795,40.6603
2022-10-14,5.29191e+06,3.9815,3.07178,203.986,63.1161
2022-10-15,1.74863e+07,6.18892,5.76089,212.862,237.052
2022-10-16,1.87841e+07,6.0425,4.82077,212.359,220.623
2022-10-17,1.05209e+07,5.26158,4.6334,204.515,145.663
2022-10-18,2.39244e+06,2.93567,2.02339,322.64,25.3
2022-10-19,1.47635e+07,5.343,5.12502,91.1014,152.53
2022-10-20,1.41096e+07,5.34425,4.7606,143.269,152.637
2022-10-21,7.72669e+06,4.47392,4.25963,183.544,89.5496
2022-10-22,1.2429e+07,5.37675,4.79152,208.612,155.439
2022-10-23,1.4322e+07,5.83258,5.25316,159.761,198.419
2022-10-24,4.12002e+07,9.04733,8.68159,216.529,740.563
2022-10-25,1.38894e+07,5.476,4.70419,220.021,164.206
2022-10-26,1.47359e+07,5.841,5.01418,194.042,199.279
2022-10-27,1.44932e+07,5.72642,5.48856,174.43,187.78
2022-10-28,1.06747e+07,5.2605,4.67687,210.296,145.573
2022-10-29,3.77551e+06,3.86933,3.4306,174.003,57.9307
2022-10-30,4.82116e+06,3.96933,3.64074,218.595,62.5393
2022-10-31,8.23183e+06,4.59083,3.76141,152.045,96.7553
2022-11-01,5.76199e+07,10.3884,10.1264,203.275,1121.11
2022-11-02,3.97147e+07,9.32025,8.36685,218.306,809.623
2022-11-03,3.88995e+07,8.24642,7.33718,192.254,560.784
2022-11-04,1.07804e+07,4.20775,3.30404,298.029,74.4989
2022-11-05,1.85455e+07,6.26492,5.67979,216.163,245.893
2022-11-06,4.64448e+07,9.146,8.83966,196.009,765.057
2022-11-07,4.31641e+07,8.77,8.58575,213.471,674.526
2022-11-08,4.96045e+07,8.61167,8.4137,193.304,638.648
2022-11-09,3.27649e+07,8.32125,7.91172,225.501,576.19
2022-11-10,3.20384e+07,7.87967,7.66741,223.587,489.242
2022-11-11,2.24951e+07,6.74975,6.61058,209.23,307.513
2022-11-12,1.97951e+06,2.97167,2.68139,160.613,26.2422
2022-11-13,3.51088e+06,3.15917,3.0772,108.637,31.5295
2022-11-14,4.98959e+06,4.28475,3.89535,136.788,78.6641
2022-11-15,2.24355e+07,6.57475,6.27663,164.86,284.209
2022-11-16,2.13638e+07,6.32317,5.55071,157.078,252.816
2022-11-17,5.15029e+07,9.53842,7.88612,164.066,867.818
2022-11-18,1.37339e+07,5.64983,3.6918,147.063,180.346
2022-11-19,1.35901e+07,5.35025,4.97025,86.5159,153.152
2022-11-20,6.43323e+06,4.15458,1.74269,156.075,71.7104
2022-11-21,1.20414e+07,5.18558,4.20454,151.349,139.442
2022-11-22,3.30092e+07,7.41092,7.09756,177.427,407.02
2022-11-23,2.54017e+07,7.12983,6.77497,190.511,362.442
2022-11-24,2.43372e+07,7.12567,6.49655,204.297,361.807
2022-11-25,1.34716e+07,5.68075,4.93252,230.986,183.323
2022-11-26,1.25349e+07,5.45858,5.19455,198.951,162.645
2022-11-27,2.83369e+07,6.73608,6.694,176.49,305.649
2022-11-28,2.48906e+06,3.22283,2.82642,212.152,33.4745
2022-11-29,746000,2.31425,1.11468,312.509,12.3946
2022-11-30,269392,2.03992,1.33847,51.4808,8.48862
2022-12-01,4.0302e+06,3.41308,3.29663,50.6928,39.7595
